"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2018-04-04";"2018-04-04";"14:45";892,824,211;Paraíso;Nicole;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"14:45";892,816,827;Indianópolis;Celina;Antonio;"4";false;false;false;false;false;false;false;true;false;
"2018-04-04";"2018-04-04";"15:45";892,820,994;Bela Vista;Eder;Walter;"4";false;false;false;false;false;false;false;true;false;
"2018-04-04";"2018-04-04";"9:30";892,824,508;Centro;Rafael;Mauro;"3";false;false;false;false;false;false;false;true;false;
"2018-04-04";"2018-04-04";"16:30";892,819,649;Campo Belo;Dafne;Celia;"5";false;false;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"16:15";892,823,038;Flamengo;Rafael;Jose;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"13:15";892,820,217;Santo Amaro;Rebeca;Lucilene;"5";false;true;true;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"16:30";892,824,796;Bela Vista;Patrícia;Luiz;"4";false;false;false;false;false;true;false;false;false;
"2018-04-04";"2018-04-04";"13:15";892,824,836;Vila Uberabinha;Thiago;William;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"13:45";892,818,531;Moema;João;Patrícia;"4";false;false;false;false;false;false;true;true;false;
"2018-03-29";"3/29/2018";"15:15";892,821,589;Perdizes;Denis;Danilo;"2";false;false;false;false;false;false;false;false;false;muito pequena área útil e enorme área aberta
"2018-03-29";"2018-03-29";"16:00";892,823,874;Perdizes;Denis;Danilo;"5";true;false;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"9:00";892,786,420;Consolação;Gabriel;Luiz;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"10:00";892,815,963;Consolação;Leandro;Mauro;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"12:45";892,793,032;Perdizes;Leandro;Maria;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"16:30";892,813,818;Vila Mariana;Nicole;José;"5";true;true;true;true;true;false;false;false;false;
